feature,importance
V14,0.6559561970260606
V4,0.042933943887967875
V12,0.02911342344778719
V17,0.028553214732492577
V8,0.021115791772680595
V18,0.016449461454295523
Time_scaled,0.015175894821144639
Amount_scaled,0.014892949060000391
V28,0.013394753561455034
V26,0.01338646070569287
V3,0.012450378815347048
V7,0.011589637868736237
V1,0.010983850658187695
V13,0.010175631843816205
V25,0.010165562509898439
V19,0.009876211626150138
V23,0.0097534368301381
V2,0.009677571436726463
V20,0.009010116515772973
V9,0.007193261517602066
V5,0.0068661380600331225
V10,0.006340289541851556
V11,0.006129218361715042
V15,0.005664292392358281
V16,0.005391988898170767
V22,0.005232745600066551
V6,0.003618538551699793
V27,0.0032145327182864386
V21,0.0028842659473512396
V24,0.0028102398365141704
