feature,importance
V14,0.21084812643899564
V12,0.129874051700011
V10,0.12203804225377686
V11,0.11306098466494703
V17,0.09352731437136576
V4,0.07974413482804911
V3,0.04570761769116429
V7,0.028980667963485363
V2,0.019881896363286345
V16,0.0189217782895422
V9,0.0188821011016145
V18,0.011567132666835537
V21,0.01049484996798176
V1,0.00954169135505735
V8,0.009260106617272912
V6,0.008178005631569773
V27,0.0072606943748152065
V19,0.00632147414011025
V28,0.006198076727741873
Amount_scaled,0.006129834709261194
V20,0.005410099622709855
V5,0.005379964851479044
V26,0.005108210054515226
V13,0.004862918826942009
V15,0.004843773066256394
V23,0.004585392546367679
Time_scaled,0.004249038260471868
V25,0.0031846757427966372
V22,0.0031112175425241717
V24,0.002846127629052991
