y,month_num,season,race_grp,male_bin,age_num,age_z,crime_grp,borough,precinct,precinct_idx,frisked_bin,searched_bin,weapon_found_bin,firearm_bin,violent_bg_bin,known_weapon_bin,self_init
1,1,Winter,White Hispanic,1,27.0,-0.07778627,Weapon,Bronx,46,29,1,1,1,1,0,0,1
0,1,Winter,Black,1,22.0,-0.5089958,Weapon,Brooklyn,67,40,1,1,1,1,0,0,1
0,1,Winter,White Hispanic,1,17.0,-0.9402053,Property/Theft,Brooklyn,68,41,1,0,0,0,0,0,0
0,1,Winter,White Hispanic,1,13.0,-1.2851729,Property/Theft,Brooklyn,68,41,1,0,0,0,0,0,0
0,1,Winter,White Hispanic,1,14.0,-1.198931,Property/Theft,Brooklyn,68,41,1,0,0,0,0,0,0
0,1,Winter,White Hispanic,1,17.0,-0.9402053,Property/Theft,Brooklyn,68,41,1,0,0,0,0,0,0
0,1,Winter,Black,1,20.0,-0.6814796,Weapon,Bronx,44,27,1,1,1,0,0,0,1
0,1,Winter,Black,1,35.0,0.61214894,Weapon,Brooklyn,70,43,1,0,0,0,1,0,0
1,1,Winter,Black Hispanic,1,20.0,-0.6814796,Weapon,Bronx,44,27,1,1,1,1,0,0,1
0,1,Winter,White Hispanic,1,18.0,-0.8539634,Property/Theft,Brooklyn,78,50,0,0,0,0,0,0,0
0,1,Winter,White Hispanic,1,19.0,-0.7677215,Property/Theft,Brooklyn,78,50,0,0,0,0,0,0,0
0,1,Winter,White,1,17.0,-0.9402053,Property/Theft,Brooklyn,78,50,0,0,0,0,0,0,0
0,1,Winter,White,1,18.0,-0.8539634,Property/Theft,Brooklyn,78,50,0,0,0,0,0,0,0
0,1,Winter,White,1,18.0,-0.8539634,Property/Theft,Brooklyn,78,50,0,0,0,0,0,0,0
1,1,Winter,Black,1,58.0,2.5957127,Weapon,Manhattan,26,17,1,1,1,1,1,1,0
0,1,Winter,Black,1,18.0,-0.8539634,Weapon,Bronx,42,25,1,1,1,1,0,0,1
0,1,Winter,Black,1,16.0,-1.0264472,Weapon,Bronx,47,30,1,1,1,0,0,0,1
0,1,Winter,Black,1,16.0,-1.0264472,Weapon,Bronx,49,32,1,0,0,0,0,0,1
0,1,Winter,Black,1,20.0,-0.6814796,Weapon,Bronx,42,25,1,0,1,0,0,0,1
0,1,Winter,White Hispanic,1,20.0,-0.6814796,Weapon,Bronx,44,27,1,0,0,0,0,0,1
0,1,Winter,White Hispanic,1,30.0,0.18093944,Weapon,Bronx,44,27,1,0,0,0,0,0,1
1,1,Winter,Black,1,22.0,-0.5089958,Weapon,Bronx,47,30,1,1,1,1,0,0,1
0,1,Winter,Black,1,25.0,-0.25027007,Weapon,Bronx,48,31,1,0,1,0,0,0,1
0,1,Winter,Black Hispanic,1,38.0,0.87087464,Weapon,Bronx,50,33,1,1,0,0,0,1,1
0,1,Winter,White Hispanic,1,25.0,-0.25027007,Violence,Queens,112,70,0,0,0,0,0,0,0
1,1,Winter,White Hispanic,1,26.0,-0.16402817,Property/Theft,Manhattan,5,2,0,1,0,0,0,0,1
1,1,Winter,White Hispanic,1,13.0,-1.2851729,Property/Theft,Manhattan,25,16,0,1,0,0,0,0,0
1,1,Winter,Black Hispanic,1,16.0,-1.0264472,Property/Theft,Manhattan,25,16,0,1,0,0,0,0,0
1,1,Winter,Black,1,36.0,0.69839084,Property/Theft,Manhattan,24,15,0,1,0,0,0,0,0
0,1,Winter,Black,1,30.0,0.18093944,Weapon,Bronx,40,23,1,0,0,0,1,0,0
0,1,Winter,Black,0,20.0,-0.6814796,Weapon,Bronx,40,23,1,0,0,0,0,0,1
0,1,Winter,Black,1,19.0,-0.7677215,Weapon,Bronx,42,25,1,0,0,0,0,0,1
